[u]:13.650000000000002;[G]:277.95628724509976;[I]:8.95142750827086;[X]:0.0022171272225013795
[u]:14.728065563213425;[G]:267.4737152263074;[I]:15.087718778155265;[X]:0.007114385726957677
[u]:11.869960463869909;[G]:248.36847081801272;[I]:16.935272984084225;[X]:0.012431048641684615
[u]:8.09273196385695;[G]:226.1153767913684;[I]:15.578832321260354;[X]:0.01645194768874224
[u]:6.5948452369095705;[G]:206.2889044031311;[I]:13.77382201771371;[X]:0.018774628826467275
[u]:7.845046693526655;[G]:191.1306879248852;[I]:13.49888771775076;[X]:0.02011164320361808
[u]:10.374963877808733;[G]:179.93057505958078;[I]:14.991205907959461;[X]:0.021435847635800673
[u]:12.693363573855057;[G]:170.89810661431252;[I]:17.416707970172805;[X]:0.023318640591608097
[u]:14.15572814755149;[G]:162.5898125984182;[I]:19.846842206066913;[X]:0.02580130744742901
[u]:14.844345959158218;[G]:154.42286636011607;[I]:21.772376421485824;[X]:0.02861169465861413
[u]:15.153832443251563;[G]:146.49708507479866;[I]:23.143227694305857;[X]:0.03143527844799973
[u]:15.438040882122957;[G]:139.15621934572076;[I]:24.161069916319818;[X]:0.03407556132314431
[u]:15.85080028046562;[G]:132.65310778408164;[I]:25.049102743976007;[X]:0.03647829612880516
[u]:16.373763495687648;[G]:127.04417253690063;[I]:25.930671799847033;[X]:0.03867575070676714
[u]:16.92231823713572;[G]:122.2414875961705;[I]:26.82510286409039;[X]:0.040720543342672645
[u]:17.426964467691164;[G]:118.10507592788929;[I]:27.698540743254828;[X]:0.042647606436985765
[u]:17.859443266051112;[G]:114.50672487045478;[I]:28.511919517100807;[X]:0.044467116807556634
[u]:18.22298636338607;[G]:111.35253389514159;[I]:29.2436638124045;[X]:0.046173943849555234
[u]:18.53349590527995;[G]:108.57905771497796;[I]:29.891115832048655;[X]:0.0477594495073647
[u]:18.80632183609861;[G]:106.14102825473688;[I]:30.462729747313606;[X]:0.04921871472628897
[u]:19.051370250361302;[G]:104.00125420922652;[I]:30.97012951104789;[X]:0.05055252623879354
[u]:19.273588095307495;[G]:102.12560059573713;[I]:31.423609531731355;[X]:0.05176624361973414
[u]:19.475207713718746;[G]:100.4818050525561;[I]:31.830877618858214;[X]:0.05286777638398424
[u]:19.657619552077982;[G]:99.03997881296107;[I]:32.19752062774408;[X]:0.053865935916259385
[u]:19.822283997131542;[G]:97.77329951388188;[I]:32.5278848545483;[X]:0.05476950104381357
[u]:19.970912331877948;[G]:96.65830261507361;[I]:32.82572869141038;[X]:0.0555868438224546
[u]:20.1053240092071;[G]:95.67475133690553;[I]:33.09452488456633;[X]:0.05632584704054283
[u]:20.227262778135216;[G]:94.80527095295987;[I]:33.33752328182261;[X]:0.05699391528114873
[u]:20.338285709731657;[G]:94.03492421925822;[I]:33.55771611580123;[X]:0.05759798662435015
[u]:20.439732247320194;[G]:93.35082677348126;[I]:33.757796650781856;[X]:0.05814452459655534
[u]:20.532741379587133;[G]:92.7418330969465;[I]:33.940145361134334;[X]:0.05863950079823376
[u]:20.618285508058808;[G]:92.19828701757254;[I]:34.106843756373664;[X]:0.05908838261004934
[u]:20.697202886676692;[G]:91.71181967989241;[I]:34.25970404964508;[X]:0.05949613389910358
[u]:20.770222421784855;[G]:91.27518003739213;[I]:34.40030340898694;[X]:0.05986722970763442
[u]:20.83798123895005;[G]:90.882088280241;[I]:34.53001625134594;[X]:0.06020568184938274
[u]:20.90103731343492;[G]:90.52710724975002;[I]:34.65004211299059;[X]:0.06051507125108219
[u]:20.95987936545101;[G]:90.20552943215264;[I]:34.76142904310173;[X]:0.06079858342178235
[u]:21.014935314226026;[G]:89.91327805660745;[I]:34.865093345563544;[X]:0.061059044502017365
[u]:21.066579822059246;[G]:89.64682122514984;[I]:34.96183646914077;[X]:0.06129895642796004
[u]:21.115141208370765;[G]:89.40309731170045;[I]:35.05235982767249;[X]:0.06152053022450181
[u]:21.160907393741965;[G]:89.17945071705125;[I]:35.13727766433276;[X]:0.06172571714040945
