[u]:13.65;[G]:277.9562872450994;[I]:8.951427508270967;[X]:0.0022171272225012897
[u]:28.3781;[G]:265.5264643247867;[I]:24.039168900115058;[X]:0.009331518655753561
[u]:24.3795;[G]:237.6801907324996;[I]:30.56813558299046;[X]:0.019185097914243835
[u]:16.4417;[G]:203.0230049541058;[I]:29.322686315270133;[X]:0.027543617568856826
[u]:11.9599;[G]:172.88725956056496;[I]:25.628198657190605;[X]:0.03268652132584261
[u]:13.1546;[G]:151.69099919897985;[I]:24.17084153399509;[X]:0.03549441001068526
[u]:16.9543;[G]:137.89114708981631;[I]:25.778684834146183;[X]:0.037729526958860976
[u]:20.3332;[G]:128.30358771571275;[I]:28.969713328670494;[X]:0.04051005423009035
[u]:22.2903;[G]:120.56948237514906;[I]:32.18860170816279;[X]:0.04401026968560175
[u]:23.098;[G]:113.64867909786801;[I]:34.67063147768879;[X]:0.04787535225318028
[u]:23.3577;[G]:107.38467136883328;[I]:36.34636527227486;[X]:0.051674986057437665
[u]:23.5114;[G]:101.92061990427018;[I]:37.46354273645974;[X]:0.05513317795776176
[u]:23.7295;[G]:97.34959543568648;[I]:38.28417093232609;[X]:0.058154205765006246
[u]:24.0037;[G]:93.63068424455221;[I]:38.9617225701461;[X]:0.06075396193080999
[u]:24.2736;[G]:90.63853929346165;[I]:39.54967402006751;[X]:0.06298693687691033
[u]:24.4961;[G]:88.229786170765;[I]:40.052196161192256;[X]:0.06490540579539043
[u]:24.6593;[G]:86.28070664546979;[I]:40.464014946786584;[X]:0.06654823101429133
[u]:24.7694;[G]:84.69689719657445;[I]:40.78599734178317;[X]:0.0679438919465098
[u]:24.8391;[G]:83.40889486602298;[I]:41.026997663495585;[X]:0.06911619735240931
[u]:24.8795;[G]:82.36450373482523;[I]:41.19966545461726;[X]:0.07008790182888439
[u]:24.8984;[G]:81.52269265644692;[I]:41.31678808597682;[X]:0.07088172395399168
[u]:24.901;[G]:80.84990430980424;[I]:41.389531542937235;[X]:0.07151997999597408
[u]:24.8907;[G]:80.31808573937076;[I]:41.42689813363552;[X]:0.07202383758881319
[u]:24.8699;[G]:79.90363777286153;[I]:41.435922237389015;[X]:0.07241269951332349
[u]:24.8406;[G]:79.58674567114801;[I]:41.42218159025036;[X]:0.07270390442284792
[u]:24.8044;[G]:79.35083505971123;[I]:41.39010849627361;[X]:0.07291267081396467
[u]:24.7628;[G]:79.18207900519741;[I]:41.343374907337754;[X]:0.07305221788563483
[u]:24.717;[G]:79.06894980857689;[I]:41.28499436514467;[X]:0.0731339500365676
[u]:24.6679;[G]:79.00183376642514;[I]:41.21738594950313;[X]:0.07316762820074556
[u]:24.6164;[G]:78.97271615302614;[I]:41.14260666271085;[X]:0.07316157633236203
